Source,Min Price,Max Price,Deviation Percentage
ascendex,0.2865928034,0.37010907849999997,29.14
bequant,0.28584328302,0.369960814774,29.43
binance,0.28599428,0.36975892799999993,29.29
binanceus,0.2502,0.2991,19.54
binanceusdm,0.285794284,0.37005905699999997,29.48
bitcoincom,0.28584328302,0.369960814774,29.43
bitfinex2,0.28629,0.37107,29.61
bittrex,0.28728,0.37653,31.07
btcturk,0.285885705,0.367969188,28.71
cex,0.286768,0.370042,29.04
coinbaseprime,0.2862,0.3759,31.34
coinbasepro,0.2862,0.3759,31.34
coingecko,0.286042,0.369534,29.19
hitbtc,0.28584328302,0.369960814774,29.43
hollaex,0.288144237,0.368558412,27.91
huobipro,0.28582028348,0.37112151366,29.84
kraken,0.286111,0.369925,29.29
kucoin,0.28601227964,0.37013408924999996,29.41
oceanex,0.28605427879999995,0.37027915159999997,29.44
okx,0.2859842802,0.37103947839999996,29.74
