Weight Strategy,Weighted Median Price,0x1b9669b12959Ad51B01FaBcF01EaBDFADB82f578,0x37b18b10ce5635a84834b26095a0ae5639dcb752,0x59ab5a5b5d617e478a2479b0cad80da7e2831492

Buy paired 1%,2252.9065832732254,0.17738359201773837,0.0022172949002217295,0.8203991130820399
Sell paired 1%,2252.9065832732254,0.19430051813471502,0.0025906735751295338,0.8031088082901554
Buy paired 2%,2252.9065832732254,0.1735357917570499,0.0021691973969631237,0.824295010845987
Sell paired 2%,2252.9065832732254,0.1944792973651192,0.002509410288582183,0.8030112923462986
Buy paired 3%,2252.9065832732254,0.17423442449841606,0.0021119324181626186,0.8236536430834214
Sell paired 3%,2252.9065832732254,0.189718482252142,0.0024479804161566705,0.8078335373317014
Buy paired $10k,2249.3456440392088,0.49998172581411493,0.00003654837177003765,0.49998172581411493
Sell paired $10k,2249.3456440392088,0.4999963294939841,0.000007341012031918722,0.4999963294939841
Buy paired $20k,2249.3456440392088,0.49999559863029375,0.000008802739412505174,0.49999559863029375
Sell paired $20k,2249.3456440392088,0.49999702559770615,0.000005948804587718099,0.49999702559770615
Buy paired $50k,2252.9065832732254,0.09090809183123977,0.000010989856362577341,0.9090809183123976
Sell paired $50k,2252.9065832732254,0.09090820815085987,0.000009710340541642798,0.9090820815085985
Buy paired $100k,2252.9065832732254,0.047618551220173264,0.000010424376361684164,0.9523710244034651
Sell paired $100k,2252.9065832732254,0.04761857916508857,0.000009837533140189766,0.9523715833017712
Buy paired $200k,2252.9065832732254,0.199983278990051,0.0000836050497450046,0.799933115960204
Sell paired $200k,2252.9065832732254,0.19998374115925535,0.00008129420372327452,0.7999349646370214
Buy paired $500k,2252.9065832732254,0.09090068173198775,0.0000925009481347184,0.9090068173198775
Sell paired $500k,2252.9065832732254,0.16663871465468083,0.00016771207191493645,0.8331935732734043
Buy paired $1000k,2252.9065832732254,0.0013788936638487017,0.00030209370969128303,0.99831901262646
Sell paired $1000k,2252.9065832732254,0.001533128054951444,0.0004005081716586636,0.9980663637733899
