DEX,TokenA,TokenB,Pool Address,Price Token B in A,Price Token A in B,Pool Size,Slip1%ValueA,Slip1%ValueB,Slip2%ValueA,Slip2%ValueB,Slip3%ValueA,Slip3%ValueB

Balancer V2,weETH,ETH,0xb9debddf1d894c79d2b2d09f819ff9b856fca552,0.9688974351041959,1.031219481894503,128124,60000,70000,60000,70000,60000,80000
Balancer V2,rETH,ETH,0x1e19cf2d73a72ef1332c882f20534b6519be0276,0.9092148705484113,1.09896931135077,85491387,,,,,,
Balancer V2,osETH,ETH,0xdacf5fa19b1f720111609043ac67a9818262850c,0.9904654058997672,1.009424063520249,53195041,,,,,,
Balancer V2,SWETH,ETH,0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d2,0.9764353475001077,1.0219409694807862,501494,10000,20000,20000,100000,20000,500000
Balancer V2,ETHx,ETH,0x37b18b10ce5635a84834b26095a0ae5639dcb752,0.9801743467587524,1.014583272982827,13916,10000,20000,10000,20000,10000,20000
Balancer V2,wstETH,ETH,0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd,0.8638789300570272,1.1573378643225658,19977100,4500000,,4600000,,4700000,
Balancer V2,pxETH,ETH,0x88794c65550deb6b4087b7552ecf295113794410,0.9885682769870792,0.2185734704624286,1234,10000,10000,10000,10000,10000,10000
Balancer V2,weETH,rETH,0x05ff47afada98a98982113758878f9a8b9fdda0a,1.0656013699653066,0.9376855922847664,9171948,3000000,5600000,3200000,5900000,3300000,6000000
Curve,ETHx,ETH,0x59ab5a5b5d617e478a2479b0cad80da7e2831492,0.9810921780749566,1.0184497138891642,5537443,775000,4500000,900000,4600000,975000,4700000
Curve,weETH,ETH,0x13947303F63b363876868D070F14dc865C36463b,0.9691563270714642,1.0316098024109719,2281940,900000,950000,1100000,1100000,1100000,1200000
Curve,osETH,rETH,0xe080027bd47353b5d1639772b4a75e9ed3658a0d,1.0885599975670084,0.9182750283499266,14765345,5200000,4700000,6600000,6000000,7200000,6500000
