DEX,TokenA,TokenB,Pool Address,Price Token B in A,Price Token A in B,Pool Size,Slip1%ValueA,Slip1%ValueB,Slip2%ValueA,Slip2%ValueB,Slip3%ValueA,Slip3%ValueB

Balancer V2,weETH,ETH,0xb9debddf1d894c79d2b2d09f819ff9b856fca552,0.9688974351041959,1.031219481894503,128124,60000,70000,60000,70000,60000,80000
Balancer V2,rETH,ETH,0x1e19cf2d73a72ef1332c882f20534b6519be0276,0.9092148705484113,1.09896931135077,85491387,,,,,,
Balancer V2,osETH,ETH,0xdacf5fa19b1f720111609043ac67a9818262850c,0.9904654058997672,1.009424063520249,53195041,,,,,,
Balancer V2,SWETH,ETH,0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d2,0.9764353475001077,1.0219409694807862,501494,10000,20000,20000,100000,20000,500000
Balancer V2,BAL,ETH,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,687.7101885600213,0.0014251061017836685,152504670,500000,500000,1000000,1100000,1600000,1600000
Balancer V2,ETHx,ETH,0x37b18b10ce5635a84834b26095a0ae5639dcb752,0.9801743467587524,1.014583272982827,13916,10000,20000,10000,20000,10000,20000
Balancer V2,AURA,ETH,0xcfca23ca9ca720b6e98e3eb9b6aa0ffc4a5c08b9,3938.13299899898,0.0002485601615317075,3326107,20000,20000,40000,40000,50000,60000
Balancer V2,wstETH,ETH,0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd,0.8638789300570272,1.1573378643225658,19977100,4500000,,4600000,,4700000,
Balancer V2,pxETH,ETH,0x88794c65550deb6b4087b7552ecf295113794410,0.9885682769870792,0.2185734704624286,1234,10000,10000,10000,10000,10000,10000
Balancer V2,GHO,USDC,0x8353157092ed8be69a9df8f95af097bbf33cb2af,1.0080304926674724,0.9910259293533323,6258136,650000,2900000,875000,3600000,1000000,3700000
Balancer V2,GHO,USDT,0x8353157092ed8be69a9df8f95af097bbf33cb2af,1.0076317135465447,0.9914191641572019,6258136,700000,3000000,925000,3600000,1100000,3700000
Balancer V2,GHO,LUSD,0x3fa8c89704e5d07565444009e5d9e624b40be813,0.46722640573975444,0.15204787642270223,87104,10000,10000,10000,10000,10000,10000
Balancer V2,weETH,rETH,0x05ff47afada98a98982113758878f9a8b9fdda0a,1.0656013699653066,0.9376855922847664,9171948,3000000,5600000,3200000,5900000,3300000,6000000
Curve,crvUSD,FRAX,0x0CD6f267b2086bea681E922E19D40512511BE538,0.9994257698513783,1.000371643878261,3052370,1600000,1300000,1700000,1400000,1800000,1400000
Curve,FRAX,USDC,0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,1.0022592447087533,0.997545827915008,57105303,8500000,,9500000,,10000000,
Curve,DAI,USDC,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,0.9998386919968287,0.9999612857978607,188654449,,,,,,
Curve,crvUSD,USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,1.0015329278080827,0.9982690342639601,21036817,5900000,,6600000,,6900000,
Curve,USDT,USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,1.0001443968108354,0.9996556436469074,188654449,,,,,,
Curve,DAI,USDT,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,0.9995942501990907,1.0002058215244967,188654449,,,,,,
Curve,crvUSD,USDT,0x390f3595bCa2Df7d23783dFd126427CCeb997BF4,1.001302275085399,0.998499160189489,24832055,7500000,,8200000,,8600000,
Curve,STETH,ETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,1.0002848538846185,0.9995147206067403,261346335,,,,,,
Curve,FRXETH,ETH,0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,1.0027899985307498,0.9968179429090126,35563678,5100000,,5800000,,6100000,
Curve,STETH,ETH,0x828b154032950C8ff7CF8085D841723Db2696056,1.0003916772918748,0.9988076083503598,6239556,1500000,4100000,1600000,4200000,1600000,4300000
Curve,ETHx,ETH,0x59ab5a5b5d617e478a2479b0cad80da7e2831492,0.9810921780749566,1.0184497138891642,5537443,775000,4500000,900000,4600000,975000,4700000
Curve,weETH,ETH,0x13947303F63b363876868D070F14dc865C36463b,0.9691563270714642,1.0316098024109719,2281940,900000,950000,1100000,1100000,1100000,1200000
Curve,osETH,rETH,0xe080027bd47353b5d1639772b4a75e9ed3658a0d,1.0885599975670084,0.9182750283499266,14765345,5200000,4700000,6600000,6000000,7200000,6500000
Curve,ALETH,FRXETH,0xB657B895B265C38c53FFF00166cF7F6A3C70587d,1.055290420739077,0.9468057837115246,15320167,400000,550000,700000,1400000,950000,2900000
Curve,ALUSD,crvFRAX,0xb30da2376f63de30b42dc055c93fa474f31330a5,1.013310365465124,0.9860713179118941,31229885,3000000,,4300000,,5000000,
Curve,ALUSD,3Crv,0x43b4FdFD4Ff969587185cDB6f0BD875c5Fc83f8c,1.0438971217710902,0.957170555546746,11282578,1000000,4100000,1500000,8500000,1700000,9100000
Curve,LUSD,3Crv,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1.0342972627513218,0.9660635007448836,14371623,2200000,,2600000,,2800000,
