Weight Strategy,Weighted Median Price,0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d2

Buy paired 1%,3009.44956881164,1
Sell paired 1%,3009.44956881164,1
Buy paired 2%,3009.44956881164,1
Sell paired 2%,3009.44956881164,1
Buy paired 3%,3009.44956881164,1
Sell paired 3%,3009.44956881164,1
Buy paired $10k,3009.44956881164,1
Sell paired $10k,3009.44956881164,1
Buy paired $20k,3009.44956881164,1
Sell paired $20k,3009.44956881164,1
Buy paired $50k,3009.44956881164,1
Sell paired $50k,3009.44956881164,1
Buy paired $100k,3009.44956881164,1
Sell paired $100k,3009.44956881164,1
Buy paired $200k,3009.44956881164,1
Sell paired $200k,3009.44956881164,1
Buy paired $500k,3009.44956881164,1
Sell paired $500k,3009.44956881164,1
Buy paired $1000k,3009.44956881164,1
Sell paired $1000k,3009.44956881164,1
