Weight Strategy,Weighted Median Price,0xdacf5fa19b1f720111609043ac67a9818262850c,0xe080027bd47353b5d1639772b4a75e9ed3658a0d

Buy paired 1%,2972.589321135169,0.9551098376313276,0.044890162368672396
Sell paired 1%,2972.589321135169,0.9505703422053232,0.049429657794676805
Buy paired 2%,2972.589321135169,0.9433962264150944,0.05660377358490566
Sell paired 2%,2972.589321135169,0.9380863039399625,0.06191369606003752
Buy paired 3%,2972.589321135169,0.9389671361502347,0.06103286384976526
Sell paired 3%,2972.589321135169,0.9328358208955224,0.06716417910447761
Buy paired $10k,2971.1316731421157,0.5,0.5
Sell paired $10k,2971.1316731421157,0.5,0.5
Buy paired $20k,2971.1316731421157,0.5,0.5
Sell paired $20k,2971.1316731421157,0.5,0.5
Buy paired $50k,2972.589321135169,0.9090909090909091,0.09090909090909093
Sell paired $50k,2972.589321135169,0.9090909090909091,0.09090909090909093
Buy paired $100k,2972.589321135169,0.9090909090909091,0.09090909090909093
Sell paired $100k,2972.589321135169,0.9090909090909091,0.09090909090909093
Buy paired $200k,2972.589321135169,0.967741935483871,0.03225806451612904
Sell paired $200k,2972.589321135169,0.967741935483871,0.03225806451612904
Buy paired $500k,2972.589321135169,0.8750000000000001,0.125
Sell paired $500k,2972.589321135169,0.8571428571428572,0.14285714285714288
Buy paired $1000k,2972.589321135169,0.8666666666666666,0.13333333333333333
Sell paired $1000k,2972.589321135169,0.8666666666666666,0.13333333333333333
