Weight Strategy,Weighted Median Price,0x88794c65550deb6b4087b7552ecf295113794410

Buy paired 1%,643.663240912064,1
Sell paired 1%,643.663240912064,1
Buy paired 2%,643.663240912064,1
Sell paired 2%,643.663240912064,1
Buy paired 3%,643.663240912064,1
Sell paired 3%,643.663240912064,1
Buy paired $10k,643.663240912064,1
Sell paired $10k,643.663240912064,1
Buy paired $20k,643.663240912064,1
Sell paired $20k,643.663240912064,1
Buy paired $50k,643.663240912064,1
Sell paired $50k,643.663240912064,1
Buy paired $100k,643.663240912064,1
Sell paired $100k,643.663240912064,1
Buy paired $200k,643.663240912064,1
Sell paired $200k,643.663240912064,1
Buy paired $500k,643.663240912064,1
Sell paired $500k,643.663240912064,1
Buy paired $1000k,643.663240912064,1
Sell paired $1000k,643.663240912064,1
