Weight Strategy,Weighted Median Price,0x1e19cf2d73a72ef1332c882f20534b6519be0276,0x05ff47afada98a98982113758878f9a8b9fdda0a,0xe080027bd47353b5d1639772b4a75e9ed3658a0d

Buy paired 1%,3236.285479250454,0.9242144177449169,0.027726432532347505,0.04805914972273567
Sell paired 1%,3236.285479250454,0.9066183136899365,0.050770625566636446,0.04261106074342702
Buy paired 2%,3236.285479250454,0.9107468123861566,0.029143897996357013,0.060109289617486336
Sell paired 2%,3236.285479250454,0.8936550491510277,0.05272564789991063,0.05361930294906166
Buy paired 3%,3236.285479250454,0.9049773755656109,0.02986425339366516,0.06515837104072399
Sell paired 3%,3236.285479250454,0.8888888888888888,0.05333333333333334,0.057777777777777775
Buy paired $10k,3235.1937001744745,0.33333333333333337,0.33333333333333337,0.33333333333333337
Sell paired $10k,3235.1937001744745,0.33333333333333337,0.33333333333333337,0.33333333333333337
Buy paired $20k,3235.1937001744745,0.33333333333333337,0.33333333333333337,0.33333333333333337
Sell paired $20k,3235.1937001744745,0.33333333333333337,0.33333333333333337,0.33333333333333337
Buy paired $50k,3235.1937001744745,0.47619047619047616,0.47619047619047616,0.04761904761904762
Sell paired $50k,3235.1937001744745,0.47619047619047616,0.47619047619047616,0.04761904761904762
Buy paired $100k,3236.285479250454,0.8333333333333333,0.08333333333333334,0.08333333333333334
Sell paired $100k,3236.285479250454,0.8333333333333333,0.08333333333333334,0.08333333333333334
Buy paired $200k,3235.1937001744745,0.4285714285714286,0.4285714285714286,0.14285714285714288
Sell paired $200k,3235.1937001744745,0.4285714285714286,0.4285714285714286,0.14285714285714288
Buy paired $500k,3235.1937001744745,0.5,0.33333333333333337,0.16666666666666669
Sell paired $500k,3236.285479250454,0.5121951219512194,0.3414634146341463,0.1463414634146341
Buy paired $1000k,3235.1937001744745,0.47643979057591623,0.3403141361256544,0.18324607329842932
Sell paired $1000k,3235.1937001744745,0.4193548387096774,0.4193548387096774,0.16129032258064516
