Weight Strategy,Weighted Median Price,0xb9debddf1d894c79d2b2d09f819ff9b856fca552,0x05ff47afada98a98982113758878f9a8b9fdda0a,0x13947303F63b363876868D070F14dc865C36463b

Buy paired 1%,3033.9356692433535,0.010574018126888218,0.8459214501510574,0.14350453172205438
Sell paired 1%,3033.9356692433535,0.015151515151515152,0.7575757575757576,0.22727272727272727
Buy paired 2%,3033.9356692433535,0.009900990099009901,0.8345120226308345,0.15558698727015557
Sell paired 2%,3033.9356692433535,0.013761467889908258,0.7339449541284404,0.25229357798165136
Buy paired 3%,3033.9356692433535,0.01098901098901099,0.8241758241758241,0.16483516483516483
Sell paired 3%,3033.9356692433535,0.013452914798206279,0.7399103139013453,0.24663677130044842
Buy paired $10k,3036.7732753823443,0.02439024390243903,0.4878048780487805,0.4878048780487805
Sell paired $10k,3036.7732753823443,0.01639344262295082,0.4918032786885246,0.4918032786885246
Buy paired $20k,3033.9356692433535,0.01785714285714286,0.8928571428571428,0.0892857142857143
Sell paired $20k,3033.9356692433535,0.01492537313432836,0.8955223880597014,0.08955223880597016
Buy paired $50k,3033.9356692433535,0.004310344827586207,0.9482758620689655,0.04741379310344828
Sell paired $50k,3033.9356692433535,0.0016393442622950822,0.9508196721311475,0.04754098360655738
Buy paired $100k,3033.9356692433535,0.00026222630129802023,0.7997902189589616,0.1999475547397404
Sell paired $100k,3033.9356692433535,0.00019278037495782928,0.7998457757000338,0.19996144392500845
Buy paired $200k,3033.9356692433535,0.0001379965960839633,0.8998758030635244,0.0999862003403916
Sell paired $200k,3033.9356692433535,0.00012724624977024983,0.8998854783752067,0.09998727537502297
Buy paired $500k,3033.9356692433535,0.0003123623403147651,0.8962716751431661,0.10341596251651916
Sell paired $500k,3033.9356692433535,0.00030681232947261147,0.9029486856378957,0.09674450203263166
Buy paired $1000k,3033.9356692433535,0.0005184744765086302,0.9647773058872592,0.034704219636232346
Sell paired $1000k,3033.9356692433535,0.0007176676732654812,0.9651604965887485,0.034121835737986064
