Weight Strategy,Weighted Median Price,0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd

Buy paired 1%,3408.1713531110313,1
Sell paired 1%,3408.1713531110313,1
Buy paired 2%,3408.1713531110313,1
Sell paired 2%,3408.1713531110313,1
Buy paired 3%,3408.1713531110313,1
Sell paired 3%,3408.1713531110313,1
Buy paired $10k,3408.1713531110313,1
Sell paired $10k,3408.1713531110313,1
Buy paired $20k,3408.1713531110313,1
Sell paired $20k,3408.1713531110313,1
Buy paired $50k,3408.1713531110313,1
Sell paired $50k,3408.1713531110313,1
Buy paired $100k,3408.1713531110313,1
Sell paired $100k,3408.1713531110313,1
Buy paired $200k,3408.1713531110313,1
Sell paired $200k,3408.1713531110313,1
Buy paired $500k,3408.1713531110313,1
Sell paired $500k,3408.1713531110313,1
Buy paired $1000k,3408.1713531110313,1
Sell paired $1000k,3408.1713531110313,1
