DEX,TokenA,TokenB,Pool Address,Price Token B in A,Price Token A in B,Pool Size,Slip1%ValueA,Slip1%ValueB,Slip2%ValueA,Slip2%ValueB,Slip3%ValueA,Slip3%ValueB

Uniswap V3,wstETH,WETH,0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,0.8664197760960413,1.1530183097864912,34009256,425000,475000,425000,500000,425000,500000
Uniswap V3,rETH,WETH,0xa4e0faa58465a2d369aa21b3e42d43374c6f9613,0.9119044895943664,1.0955041614889824,4366821,825000,3600000,825000,3700000,850000,3700000
Uniswap V3,ETHx,WETH,0x1b9669b12959Ad51B01FaBcF01EaBDFADB82f578,0.9817637134343474,1.0175526849833112,1521300,750000,800000,775000,800000,775000,825000
Uniswap V3,rETH,WETH,0x553e9c493678d8606d6a5ba284643db2110df823,0.9121595083802687,1.0960540864300126,4570997,525000,4200000,525000,4200000,550000,4200000
Uniswap V3,pxETH,WETH,0x02edd21f1db8eb146be60998e9801691e725f119,1.002780060682586,0.9967782807591575,79597,30000,60000,30000,60000,30000,60000
Uniswap V3,USDC,osETH,0xc2a6798447bb70e5abcf1b0d6aeec90bc14fca55,2542.7679772706997,0.0003922524650336557,295933,20000,20000,30000,30000,50000,40000
Curve,weETH,ETH,0x13947303F63b363876868D070F14dc865C36463b,0.9718976404099826,1.0287044409014643,4511082,1800000,1900000,2000000,2200000,2100000,2300000
Balancer V2,weETH,ETH,0xb9debddf1d894c79d2b2d09f819ff9b856fca552,0.9721997118739256,1.0277256520400044,209009,70000,125000,80000,150000,80000,150000
Balancer V2,rETH,ETH,0x1e19cf2d73a72ef1332c882f20534b6519be0276,0.9116572397419606,1.0960251284687195,85651846,,,,,,
Balancer V2,osETH,ETH,0xdacf5fa19b1f720111609043ac67a9818262850c,0.9940015251138116,1.0058330262802007,45725393,,,,,,
Balancer V2,ETHx,ETH,0x37b18b10ce5635a84834b26095a0ae5639dcb752,0.9816771828615128,1.017001829753455,11834,10000,10000,10000,10000,10000,10000
Balancer V2,wstETH,ETH,0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd,0.8666257135359826,1.1536698027458636,18077665,5700000,,5900000,,5900000,
Balancer V2,pxETH,ETH,0x88794c65550deb6b4087b7552ecf295113794410,0.025270732924582782,0.02529002698023013,46,10000,10000,10000,10000,10000,10000
Balancer V2,weETH,rETH,0x05ff47afada98a98982113758878f9a8b9fdda0a,1.0649880711765525,0.9382249062650898,4599219,1700000,2700000,1800000,2800000,1900000,2800000
Curve,ETHx,ETH,0x59ab5a5b5d617e478a2479b0cad80da7e2831492,0.9804113769518439,1.019163572704475,6963584,3100000,3700000,3200000,3800000,3300000,3900000
Curve,osETH,rETH,0xe080027bd47353b5d1639772b4a75e9ed3658a0d,1.0892551007252802,0.9176885786440605,13326356,4200000,4000000,5400000,5100000,5900000,5600000
Maverick,weETH,WETH,0x2A8b91503980B2965FeF0E1680D2d113f04368a0,1.0284411875448034,0.9715628674674537,0,325000,3000000,325000,3000000,325000,3000000
Maverick,wstETH,WETH,0x0eB1C92f9f5EC9D817968AfDdB4B46c564cdeDBe,0.8660753687848136,1.1544016498345622,0,2500000,2400000,2500000,2500000,2500000,2500000
Maverick,pxETH,ETH,0x8dd893b9ec19d89b66c01794cf5e04e30d284e53,1.0005410612225991,0.9990679577326121,0,10000,60000,10000,60000,10000,60000
