DEX,TokenA,TokenB,Pool Address

Uniswap V3,WBTC,OHM,0x9Fd3D0979c6019Fc673FAB0158AFE7D2F055eCe0
Uniswap V3,OHM,USDC,0x58557CFA7dcfe3A67E9A13080c90655E89cc1f11
Uniswap V3,WETH,SWETH,0x4Ac5056DE171ee09E7AfA069DD1a3538D2381565
Uniswap V3,WBTC,OHM,0x9Fd3D0979c6019Fc673FAB0158AFE7D2F055eCe0
Uniswap V3,WBTC,DAI,0xA93eb5b410b651514A18724872306F5ce9928Dde
Uniswap V3,WBTC,USDC,0x026Babd2ae9379525030Fc2574e39bc156C10583
Uniswap V3,WBTC,DAI,0xA93eb5b410b651514A18724872306F5ce9928Dde
Uniswap V3,OHM,USDC,0x58557CFA7dcfe3A67E9A13080c90655E89cc1f11
Uniswap V3,WBTC,USDC,0x026Babd2ae9379525030Fc2574e39bc156C10583
Curve,FRXETH,ETH,0xa1f8a6807c404a15ef4eba36528a3fed2577
Curve,ALETH,ETH,0xc4c312d4d66cca4464c0c2b32c9bd23ebe784e
Curve,ETHx,ETH,0x59ab5a5b5d61478a2479b0cad80da2831492
Curve,osETH,rETH,0xe080027bd47353b5d1639772b4a79ed3658a0d
Curve,GHO,crvUSD,0x86152df0a321afb3b0b9c4deb813184f365ada
Balancer V2,weETH,ETH,0xb9debddf1d894c79d2b2d09f819ff9b856fca552
Balancer V2,rETH,ETH,0x19cf2d73a72ef1332c882f20534b6519be027600
Balancer V2,osETH,ETH,0xdacf5fa19b1f720111609043ac67a9818262850c
Balancer V2,SWETH,ETH,0xe2c68d3b13d905bbb636709cf4dfd21076b9d200
Balancer V2,OHM,ETH,0xd1ec215e8148d76f4464097fd3d5ae0a35580002
Balancer V2,BAL,ETH,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56
Balancer V2,ETHx,ETH,0x37b18b10ce5635a84834b26095a0ae5639dcb752
Balancer V2,AURA,ETH,0xcfca23ca9ca720b98e3eb9b6aa0ffc4a5c08b900
Balancer V2,wstETH,ETH,0x93d199263632a4ef4bb438f1feb957b4b5f0bd00
Balancer V2,pxETH,ETH,0x88794c65550deb6b4087b7552ecf295113794410
Balancer V2,OHM,DAI,0x76fcf8c7ff37a47a799fa2cd4c13cde0d981c900
Balancer V2,GHO,USDC,0x8353157092ed8be69a9df8f95af097bbf33cb2af
Balancer V2,GHO,LUSD,0x3fa8c89705d07565444005d624b40be813000000
Balancer V2,weETH,rETH,0x05ff47afada98a98982113758878f9a8b9fdda0a
