Weight Strategy,Weighted Median Price,0x30ea22c879628514f1494d4bbfef79d21a6b49a2,0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d2,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad

Buy paired 1%,2299.1730182031997,0.5205479452054794,0.3013698630136986,0.1780821917808219
Sell paired 1%,2121.3050236347763,0.24486571879936808,0.02843601895734597,0.7266982622432859
Buy paired 2%,2299.1730182031997,0.5170068027210885,0.29931972789115646,0.1836734693877551
Sell paired 2%,2121.3050236347763,0.24806201550387597,0.03875968992248062,0.7131782945736435
Buy paired 3%,2299.1730182031997,0.5298013245033113,0.2913907284768212,0.17880794701986755
Sell paired 3%,2121.3050236347763,0.24060150375939848,0.03759398496240601,0.7218045112781954
Buy paired $10k,2299.1730182031997,0.49382716049382713,0.01234567901234568,0.49382716049382713
Sell paired $10k,2299.1730182031997,0.49382716049382713,0.01234567901234568,0.49382716049382713
Buy paired $20k,2299.1730182031997,0.4964539007092198,0.0070921985815602835,0.4964539007092198
Sell paired $20k,2299.1730182031997,0.4975124378109453,0.0049751243781094535,0.4975124378109453
Buy paired $50k,2121.3050236347763,0.09036144578313254,0.006024096385542169,0.9036144578313252
Sell paired $50k,2121.3050236347763,0.09065934065934067,0.002747252747252748,0.9065934065934066
Buy paired $100k,2121.3050236347763,0.3246753246753247,0.025974025974025976,0.6493506493506493
Sell paired $100k,2121.3050236347763,0.33182844243792325,0.004514672686230249,0.6636568848758465
Buy paired $200k,2121.3050236347763,0.24475524475524477,0.02097902097902098,0.7342657342657343
Sell paired $200k,2121.3050236347763,0.19994979289569476,0.000251035521526296,0.799799171582779
Buy paired $500k,2299.1730182031997,0.704119850187266,0.11985018726591762,0.1760299625468165
Sell paired $500k,2121.3050236347763,0.08820199872594407,0.0003773477726337657,0.9114206535014221
Buy paired $1000k,2299.1730182031997,0.8322237017310253,0.16644474034620507,0.0013315579227696406
Sell paired $1000k,2121.3050236347763,0.011434442045998588,0.0030860527303454783,0.985479505223656
