Weight Strategy,Weighted Median Price,0xc2a6798447bb70e5abcf1b0d6aeec90bc14fca55,0xdacf5fa19b1f720111609043ac67a9818262850c,0xe080027bd47353b5d1639772b4a75e9ed3658a0d

Buy paired 1%,2223.4388151914227,0.00019227071716977504,0.9613535858488752,0.03845414343395501
Sell paired 1%,2223.4388151914227,0.00019190174630589137,0.9595087315294569,0.04029936672423719
Buy paired 2%,2223.4388151914227,0.00028536098164177684,0.9512032721392562,0.04851136687910206
Sell paired 2%,2223.4388151914227,0.00028454898985108605,0.9484966328369534,0.051218818173195485
Buy paired 3%,2223.4388151914227,0.000473260766682442,0.9465215333648841,0.053005205868433505
Sell paired 3%,2223.4388151914227,0.00037757221068529355,0.9439305267132339,0.0556919010760808
Buy paired $10k,2223.4388151914227,0.0007570022710068131,0.4996214988644966,0.4996214988644966
Sell paired $10k,2223.4388151914227,0.0007037297677691768,0.4996481351161154,0.4996481351161154
Buy paired $20k,2223.4388151914227,0.0003519887363604365,0.4998240056318197,0.4998240056318197
Sell paired $20k,2223.4388151914227,0.0003354579000335459,0.4998322710499833,0.4998322710499833
Buy paired $50k,2223.4388151914227,0.00024563989191844754,0.908867600098256,0.09088676000982561
Sell paired $50k,2223.4388151914227,0.00024172105390379508,0.9088711626782693,0.09088711626782695
Buy paired $100k,2223.4388151914227,0.00013062504082032525,0.9522565475801711,0.04761282737900856
Sell paired $100k,2223.4388151914227,0.00013008976193573568,0.9522570573695851,0.04761285286847926
Buy paired $200k,2223.4388151914227,0.000028279210067398787,0.9677145685063864,0.03225715228354622
Sell paired $200k,2223.4388151914227,0.000054030689431597155,0.967689647719905,0.0322563215906635
Buy paired $500k,2223.4388151914227,0.0001206108941790167,0.8887816792051741,0.11109770990064677
Sell paired $500k,2223.4388151914227,0.00013233639912657976,0.8887712565341097,0.11109640706676371
Buy paired $1000k,2223.4388151914227,0.00020467686639717546,0.8887069538965359,0.11108836923706698
Sell paired $1000k,2223.4388151914227,0.00021265849703607222,0.8886998591137458,0.11108748238921823
