Weight Strategy,Weighted Median Price,0xa4e0faa58465a2d369aa21b3e42d43374c6f9613,0x553e9c493678d8606d6a5ba284643db2110df823,0x1e19cf2d73a72ef1332c882f20534b6519be0276,0x05ff47afada98a98982113758878f9a8b9fdda0a,0xe080027bd47353b5d1639772b4a75e9ed3658a0d

Buy paired 1%,2422.8124841703525,0.0316622691292876,0.036939313984168866,0.8795074758135444,0.014951627088830254,0.036939313984168866
Sell paired 1%,2422.8124841703525,0.007635354002776492,0.004858861638130495,0.9254974548819991,0.024988431281813973,0.03701989819527996
Buy paired 2%,2422.8124841703525,0.03214596003475239,0.036490008688097306,0.8688097306689835,0.015638575152041704,0.04691572545612511
Sell paired 2%,2422.8124841703525,0.007551487414187643,0.004805491990846682,0.9153318077803204,0.02562929061784897,0.04668192219679634
Buy paired 3%,2422.8124841703525,0.03197925669835782,0.036300777873811585,0.8643042350907519,0.016421780466724288,0.05099394987035436
Sell paired 3%,2422.8124841703525,0.007741347905282332,0.005009107468123861,0.9107468123861566,0.025500910746812388,0.051001821493624776
Buy paired $10k,2422.8124841703525,0.24390243902439024,0.02439024390243903,0.24390243902439024,0.24390243902439024,0.24390243902439024
Sell paired $10k,2422.8124841703525,0.24390243902439024,0.02439024390243903,0.24390243902439024,0.24390243902439024,0.24390243902439024
Buy paired $20k,2422.8124841703525,0.24691358024691357,0.01234567901234568,0.24691358024691357,0.24691358024691357,0.24691358024691357
Sell paired $20k,2422.8124841703525,0.24691358024691357,0.01234567901234568,0.24691358024691357,0.24691358024691357,0.24691358024691357
Buy paired $50k,2422.8124841703525,0.04511278195488722,0.007518796992481204,0.4511278195488722,0.4511278195488722,0.04511278195488722
Sell paired $50k,2422.8124841703525,0.04511278195488722,0.007518796992481204,0.4511278195488722,0.4511278195488722,0.04511278195488722
Buy paired $100k,2422.8124841703525,0.041322314049586785,0.008264462809917356,0.8264462809917356,0.08264462809917357,0.041322314049586785
Sell paired $100k,2422.8124841703525,0.027972027972027975,0.006993006993006994,0.8391608391608391,0.08391608391608392,0.04195804195804196
Buy paired $200k,2422.8124841703525,0.1485714285714286,0.034285714285714294,0.44571428571428573,0.22285714285714286,0.1485714285714286
Sell paired $200k,2422.8124841703525,0.08156028368794327,0.02127659574468085,0.48936170212765956,0.24468085106382978,0.16312056737588654
Buy paired $500k,2422.8124841703525,0.2271714922048998,0.0534521158129176,0.4543429844097996,0.15144766146993321,0.1135857461024499
Sell paired $500k,2422.8124841703525,0.0464650510715001,0.018425796114560383,0.5343480873222511,0.26717404366112557,0.13358702183056279
Buy paired $1000k,2422.8124841703525,0.3515293248815312,0.08369745830512648,0.3515293248815312,0.1033909779063327,0.10985291402547849
Sell paired $1000k,2422.8124841703525,0.0013115601503067733,0.0005255874587232204,0.5151808270405006,0.3219880169003129,0.16099400845015646
